year_built;volume_interior;volume_other;lot_size;taxable_value
1987;413;43;261;188000
1983;338;61;250;225000
1964;277;14;132;95000
1981;323;30;162;150000
1971;326;31;149;135000
1968;317;57;244;200000
1971;470;90;332;215000
1934;360;44;113;120000
1932;383;31;190;170500
1959;310;20;159;95000
1956;412;25;160;187000
1983;240;23;189;140000
1915;338;0;127;97000
1915;515;0;124;85000
1935;481;36;118;127000
1968;382;79;874;335000
1957;300;21;138;134000
1936;314;17;95;107500
1977;326;26;175;160000
1977;358;26;144;147500
1941;324;15;165;125000
1987;413;76;283;260000
1962;332;69;152;163500
1980;356;47;153;175000
1985;312;65;257;163000
1984;347;50;144;152500
1979;361;20;164;199500
1930;356;41;284;105000
1972;429;61;950;295000
1972;327;26;128;137500
1976;363;42;179;160000
1972;377;50;124;163500
1926;350;29;238;95000
1987;450;53;315;305000
1975;282;27;141;132000
1972;327;26;128;144500
1915;276;0;229;113500
1972;420;58;302;240000
1971;408;20;158;152000
1930;343;40;140;85000
1976;480;62;370;250000
1979;162;12;100;79500
1985;326;80;263;210000
1967;430;141;368;313500
1915;346;80;165;103000
1964;277;14;146;90000
1975;354;21;177;122500
1972;475;52;600;316000
1983;338;61;250;150000
1972;279;14;210;140000
1977;353;61;198;175000
1915;330;26;177;107000
1976;268;24;144;140000
1972;324;52;247;190000
1965;199;13;100;128500
1977;506;60;358;290500
1979;682;105;540;332500
1985;285;17;137;135000
1979;200;15;100;98000
1973;414;25;175;178000
1963;299;17;152;116500
1976;437;62;311;272500
1920;433;36;155;98500
1988;296;75;154;137000
1980;349;31;162;161000
1924;520;211;183;110000
1966;199;15;100;85000
1980;620;54;292;272500
1979;442;68;277;220000
1976;384;31;185;159000
1979;395;29;100;210000
1915;220;0;141;50000
1967;349;40;183;145000
1948;331;31;254;152500
1896;389;29;127;91000
1937;482;0;205;175000
1979;354;28;147;140000
1989;470;78;126;200000
1986;325;18;130;145000
1977;324;18;137;157500
1978;264;20;140;130000
1975;354;21;157;153000
1892;318;0;77;130000
1972;327;26;128;145000
1922;316;58;154;115000
1930;264;39;164;96000
1979;535;114;450;335000
1938;373;67;163;130000
1977;146;14;100;85000
1870;817;370;245;275000
1930;343;40;140;98000
1965;199;13;100;130000
1968;1325;0;1310;505000
1976;258;26;160;123000
1959;267;19;99;125000
1976;333;57;222;170000
1979;162;12;100;98000
1929;261;30;187;147000
1968;646;121;818;336500
1964;277;14;144;100000
1980;612;54;254;260000
1973;350;24;149;157000
1976;393;52;174;169000
1986;326;14;136;161500
1979;192;14;100;111600
1990;436;105;282;270000
1982;319;16;114;125000
1930;259;21;196;120000
1977;371;19;149;167000
1980;232;13;100;95000
1981;360;23;177;141000
1964;321;23;119;139000
1989;301;68;225;172500
1976;387;23;150;164000
1986;339;54;172;162000
1963;319;136;278;121000
1937;314;60;144;149500
1932;350;0;178;119000
1988;432;161;492;282500
1986;345;46;259;199000
1978;700;145;864;425000
1990;313;118;179;179000
1974;387;81;350;225000
1910;348;15;286;105000
1964;372;23;220;115000
1989;312;117;246;195100
1939;356;20;180;159000
1987;301;91;234;193000
1969;329;25;163;125000
1989;293;68;170;160000
1980;356;47;153;150000
1935;364;18;149;139000
1925;350;19;166;100000
1930;259;21;196;99000
1966;309;76;339;225000
1972;456;23;157;150000
1957;317;21;142;113000
1967;350;21;154;142500
1986;390;49;185;170000
1966;379;67;367;215000
1915;206;0;92;125000
1977;317;18;144;145000
1984;295;20;181;147500
1950;311;89;195;179000
1991;275;22;192;187500
1936;419;0;211;235000
1992;284;63;155;155000
1976;506;305;530;212000
1980;602;86;645;350000
1976;365;19;165;150000
1963;167;20;100;65000
1956;304;65;149;105000
1922;321;0;180;123000
1979;162;12;100;75000
1988;301;92;233;164000
1963;212;33;100;85000
1948;1437;0;276;400000
